business_id,name,RestaurantsDelivery,OutdoorSeating,WiFi,HappyHour,RestaurantsTakeOut,RestaurantsReservations,BusinessParking,Price,AverageRating,lamb,calamari,crawfish
t4p4SkyihBfI2p2IctGcFQ,Ponderosa Steakhouse,True,False,False,False,True,False,False,$$,3,False,False,False
4UHqIiqzS2sgnhNi0cXtXw,Rosen Inn Lake Buena Vista,False,True,True,False,False,True,False,$$,2,False,False,False
DDvLLp9cT1m0U8SN-DYIKA,Saffron Indian Cuisine,True,False,True,False,True,True,True,$$,4,True,False,False
esHeBE48Fah6nuYKRS61KA,Saffron Indian Cuisine,True,False,True,False,True,False,False,$$,3,False,False,False
bIwbjfRhiDOGnqkKXAoJ-Q,Savannah Bar and Grille,False,True,True,False,True,True,False,$$,2,False,False,False
U9lrX8Nviajz-74dF6zL7g,SeaWorld Orlando,False,True,False,False,False,True,True,$$$$,3,False,False,False
cQqDl2LsQw_JpbC-cu3KvA,Spice Indian Grill,True,False,True,False,True,True,False,$$,4,True,False,False
5K6W5eZKzJNImYVxHG7G4g,Texas de Brazil,True,True,False,True,True,True,True,$$$,3,True,False,False
ZqYyavcfs69iGVnpn5t9Fg,The Crystal Palace,False,False,False,False,False,True,True,$$$,3,False,False,False
3O8mfTK37HGnCgowSLG3bA,The Garden Gallery,False,True,True,False,True,False,False,$$,3,False,False,False
6-nX4fFhEBZBOGPZGGl5ng,The Knife - Lake Buena Vista,True,False,True,False,True,True,True,$$$,2,False,False,False
Yttutdu1cYsHQU_nEu-ZDg,Tony's Brazilian Grill,False,False,True,True,True,True,False,$$,3,False,False,False
5xjvDjN7s-FC00gkqAPqmA,Tropical Cabana,True,True,True,False,True,True,True,$,4,False,False,False
_vS_Bhzhoa5Z3CYVmUf5jg,Villa de Flora,False,True,True,False,True,True,True,$$$,3,False,False,False
